Action: improve | review | Learn | conjugate | listen | compose | errors
Result: new | familiar | known | 0 | 0.5 | 1
sDay: sprintDay ; A/P: active | passive ; warning: starting row = 5 is fixed
ID	ACTION	RESULT	DURATION	SDAY	A/P
3098	verbs	1	2	3	P
2943	verbs	1	1	3	P
2972	verbs	1	1	3	P
2963	verbs	1	1	3	P
2933	verbs	1	1	3	P
2847	verbs	1	1	3	P
2948	verbs	1	2	3	P
2950	verbs	1	1	3	P
0	verbs	1	23	3	p
2942	verbs	1	8	3	A
2954	verbs	1	3	3	A
3059	verbs	1	131	3	A
2944	verbs	1	6	3	A
2935	verbs	1	1	3	A
2930	verbs	1	2	3	A
3031	verbs	1	1	3	A
3100	verbs	1	2	3	A
2963	verbs	1	1	3	A
2932	verbs	1	1	3	A
2966	verbs	1	1	3	A
2969	verbs	1	1	3	A
3095	verbs	1	4	3	A
2972	verbs	1	1	3	A
2906	verbs	1	1	3	A
3061	verbs	1	1	3	A
2863	verbs	1	1	3	A
2938	verbs	1	3	3	A
2961	verbs	1	2	3	A
0	verbs	1	0	3	p
3399	listen	0	19	3	p
3277	listen	1	10	3	p
3374	listen	1	107	3	p
3402	listen	1	12	3	p
3511	listen	1	9	3	p
3176	listen	1	8	3	p
3421	listen	1	84	3	p
3325	listen	1	6	3	p
3337	listen	1	6	3	p
3343	listen	1	9	3	p
3401	listen	1	3	3	p
3460	listen	1	5	3	p
3293	listen	1	9	3	p
3407	listen	1	5	3	p
3304	listen	1	4	3	p
3320	listen	1	5	3	p
3209	listen	1	6	3	p
3397	listen	1	6	3	p
3441	listen	1	5	3	p
3236	listen	1	5	3	p
0	listen	1	170	3	p
2816	compose	0	22	3	a
2724	compose	1	4	3	a
2770	compose	1	7	3	a
2744	compose	1	5	3	a
2804	compose	1	6	3	a
2834	compose	1	2	3	a
2718	compose	1	3	3	a
2731	compose	1	3	3	a
2701	compose	1	5	3	a
2716	compose	1	4	3	a
2843	compose	1	18	3	a
2792	compose	1	4	3	a
2735	compose	1	5	3	a
2755	compose	1	9	3	a
2771	compose	1	3	3	a
2690	compose	1	3	3	a
2708	compose	1	2	3	a
2846	compose	1	8	3	a
2828	compose	1	3	3	a
2823	compose	1	2	3	a
220	learn	k	4	3	a
221	learn	k	4	3	a
222	learn	k	4	3	a
223	learn	k	3	3	a
224	learn	k	4	3	a
3104	verbs	1	11	3	a
3112	verbs	1	5	3	p
3030	verbs	1	20	3	a
0	verbs	1	2	3	p
2890	verbs	1	8	3	p
3073	verbs	1	3	3	p
2911	verbs	1	3	3	p
2912	verbs	1	4	3	a
2914	verbs	1	4	3	p
3113	verbs	1	4	3	p
3106	verbs	1	2	3	a
3109	verbs	1	3	3	p
3066	verbs	1	3	3	a
2848	verbs	1	2	3	p
2859	verbs	1	3	3	a
225	learn	n	9	4	a
226	learn	n	4	4	a
227	learn	n	4	4	a
228	learn	n	5	4	a
229	learn	n	3	4	a
230	learn	n	2	4	a
231	learn	n	5	4	a
232	learn	n	3	4	a
233	learn	n	3	4	a
234	learn	n	5	4	a
235	learn	n	3	4	a
236	learn	n	2	4	a
237	learn	n	3	4	a
238	learn	n	5	4	a
239	learn	n	4	4	a
240	learn	n	3	4	a
241	learn	n	3	4	a
242	learn	n	86	4	a
243	learn	n	2	4	a
244	learn	n	4	4	a
245	learn	n	2	4	a
246	learn	n	5	4	a
247	learn	n	4	4	a
248	learn	n	4	4	a
249	learn	n	2	4	a
250	learn	n	4	4	a
251	learn	n	6	4	a
252	learn	n	3	4	a
253	learn	n	4	4	a
254	learn	n	7	4	a
255	learn	n	4	4	a
256	learn	n	4	4	a
257	learn	n	3	4	a
258	learn	n	4	4	a
259	learn	n	3	4	a
260	learn	n	2	4	a
261	learn	k	16	4	a
262	learn	k	4	4	a
263	learn	k	3	4	a
264	learn	k	3	4	a
265	learn	k	4	4	a
266	learn	k	4	4	a
267	learn	k	3	4	a
268	learn	k	4	4	a
269	learn	k	4	4	a
270	learn	k	3	4	a
271	learn	k	2	4	a
272	learn	k	4	4	a
273	learn	k	3	4	a
274	learn	k	3	4	a
275	learn	k	4	4	a
276	learn	k	4	4	a
277	learn	k	4	4	a
278	learn	k	2	4	a
279	learn	k	2	4	a
280	learn	k	4	4	a
281	learn	k	5	4	a
282	learn	k	5	4	a
283	learn	k	6	4	a
284	learn	k	3	4	a
285	learn	k	3	4	a
286	learn	k	2	4	a
287	learn	k	4	4	a
288	learn	k	3	4	a
289	learn	f	10	4	a
290	learn	k	3	4	a
291	learn	k	1	4	a
292	learn	k	2	4	a
293	learn	k	2	4	a
294	learn	k	3	4	a
295	learn	k	2	4	a
296	learn	k	2	4	a
297	learn	k	3	4	a
298	learn	k	2	4	a
299	learn	k	15	4	a
300	learn	k	4	4	a
301	learn	k	8	4	a
302	learn	k	5	4	a
303	learn	k	8	4	a
304	learn	k	8	4	a
305	learn	k	73	4	a
306	learn	k	9	4	a
307	learn	k	8	4	a
308	learn	k	9	4	a
218	review	1	1747895696	4	a
3038	verbs	1	17	4	p
2876	verbs	1	10	4	p
2927	verbs	0	10	4	a
2855	verbs	1	8	4	p
3043	verbs	1	7	4	p
3047	verbs	1	5	4	p
3040	verbs	1	11	4	a
3093	verbs	1	5	4	p
2924	verbs	1	10	4	a
2900	verbs	1	5	4	p
3091	verbs	1	48	4	p
2877	verbs	1	4	4	a
3053	verbs	1	3	4	a
3094	verbs	1	5	4	p
3042	verbs	0	11	4	a
2922	verbs	1	6	4	p
3049	verbs	0	17	4	p
2986	verbs	1	14	4	a
3051	verbs	1	13	4	a
2985	verbs	1	5	4	p
0	verbs	1	60	4	p
3278	listen	1	8	4	p
3248	listen	1	9	4	p
3519	listen	1	3	4	p
3277	listen	1	4	4	p
3167	listen	1	10	4	p
3177	listen	1	5	4	p
3368	listen	1	56	4	p
3286	listen	1	24	4	p
3438	listen	1	6	4	p
3157	listen	1	8	4	p
3294	listen	1	3	4	p
3246	listen	1	13	4	p
3357	listen	1	5	4	p
3509	listen	1	8	4	p
3350	listen	1	7	4	p
3197	listen	1	4	4	p
3414	listen	1	4	4	p
3435	listen	1	4	4	p
3505	listen	1	6	4	p
3200	listen	1	4	4	p
0	listen	1	25	4	p
2788	compose	1	8	4	a
2826	compose	1	9	4	a
2686	compose	1	6	4	a
2789	compose	1	3	4	a
2704	compose	1	3	4	a
2768	compose	1	2	4	a
2720	compose	1	2	4	a
2709	compose	1	1	4	a
2708	compose	1	2	4	a
2722	compose	1	2	4	a
2735	compose	1	8	4	a
2813	compose	1	2	4	a
2777	compose	1	1	4	a
2803	compose	1	11	4	a
2835	compose	1	4	4	a
2738	compose	1	3	4	a
2790	compose	1	2	4	a
2730	compose	1	2	4	a
2725	compose	0	9	4	a
2691	compose	1	18	4	a
0			0		
0	listen	1	0	4	p
309	learn	f	7	5	a
310	learn	n	7	5	a
311	learn	k	5	5	a
312	learn	k	4	5	a
313	learn	k	4	5	a
314	learn	k	4	5	a
315	learn	k	4	5	a
316	learn	k	4	5	a
317	learn	k	4	5	a
318	learn	k	4	5	a
319	learn	k	3	5	a
320	learn	k	4	5	a
321	learn	k	6	5	a
322	learn	k	4	5	a
323	learn	k	3	5	a
324	learn	k	3	5	a
325	learn	k	2	5	a
326	learn	k	3	5	a
327	learn	k	2	5	a
328	learn	k	3	5	a
329	learn	k	4	5	a
330	learn	k	7	5	a
331	learn	k	6	5	a
332	learn	k	4	5	a
333	learn	k	5	5	a
334	learn	k	4	5	a
335	learn	k	3	5	a
336	learn	k	3	5	a
337	learn	k	4	5	a
338	learn	f	4	5	a
339	learn	k	4	5	a
340	learn	k	3	5	a
341	learn	k	4	5	a
342	learn	k	3	5	a
343	learn	k	3	5	a
344	learn	k	3	5	a
345	learn	k	2	5	a
346	learn	k	3	5	a
347	learn	k	3	5	a
